Element,x(m),y(m)
Apri Tag 1,7.243094,-2.936917
Apri Tag 2,7.243094,-1.260256
Apri Tag 3,7.243094,0.4161825
Apri Tag 4,7.90832,2.7415885
Apri Tag 5,-7.908323,2.7415885
Apri Tag 6,-7.2430975,0.4161825
Apri Tag 7,-7.2430975,-1.260256
Apri Tag 8,-7.2430975,-2.936917
Blue Item 1,-1.20298,0.56861
Blue Item 2,-1.20298,-0.65059
Blue Item 3,-1.20298,-1.86979
Blue Item 4,-1.20298,-3.08899
Red Item 1,1.20298,0.56861
Red Item 2,1.20298,-0.65059
Red Item 3,1.20298,-1.86979
Red Item 4,1.20298,-3.08899
Blue Charging 1,-4.38433,-0.6549
Blue Charging 2,-4.38433,-1.26451
Blue Charging 3,-4.38433,-1.87411
Red Charging 1,4.38433,-0.6549
Red Charging 2,4.38433,-1.26451
Red Charging 3,4.38433,-1.87411
Blue Grid 1,-6.89258,-3.49539
Blue Grid 2,-6.89258,-2.93758
Blue Grid 3,-6.89258,-2.37779
Blue Grid 4,-6.89258,-1.81899
Blue Grid 5,-6.89258,-1.26118
Blue Grid 6,-6.89258,-0.70139
Blue Grid 7,-6.89258,-0.14259
Blue Grid 8,-6.89258,0.41522
Blue Grid 9,-6.89258,0.97501
Red Grid 1,6.89258,-3.49539
Red Grid 2,6.89258,-2.93758
Red Grid 3,6.89258,-2.37779
Red Grid 4,6.89258,-1.81899
Red Grid 5,6.89258,-1.26118
Red Grid 6,6.89258,-0.70139
Red Grid 7,6.89258,-0.14259
Red Grid 8,6.89258,0.41522
Red Grid 9,6.89258,0.97501
